Race,First/Last,M/F,Name
Tiefling,First,F,Rain
Tiefling,First,F,Samantia
Tiefling,First,F,Sunshine
Tiefling,First,F,Tenerife
Tiefling,First,F,Traya
Tiefling,First,F,Velavia
Tiefling,First,F,Zaidi
Tiefling,First,F,Zethaya
Tiefling,Last,n/a,Amarzian
Tiefling,Last,n/a,Carnago
Tiefling,Last,n/a,Domarien
Tiefling,Last,n/a,Iscitan
Tiefling,Last,n/a,Meluzan
Tiefling,Last,n/a,Menetrian
Tiefling,Last,n/a,Paradas
Tiefling,Last,n/a,Romazi
Tiefling,Last,n/a,Sarzan
Tiefling,Last,n/a,Serechor
Tiefling,Last,n/a,Shadowhorn
Tiefling,Last,n/a,Szereban
Tiefling,Last,n/a,Torzalan
Tiefling,Last,n/a,Trelenus
Tiefling,Last,n/a,Trevethor
Tiefling,Last,n/a,Tryphon
Tiefling,Last,n/a,Vadu
Tiefling,Last,n/a,Vrago
Tiefling,First,M,Akmenos
Tiefling,First,M,Amnon
Tiefling,First,M,Barakas
Tiefling,First,M,Damakos
Tiefling,First,M,Ekemon
Tiefling,First,M,Iados
Tiefling,First,M,Kairon
Tiefling,First,M,Leucis
Tiefling,First,M,Melech
Tiefling,First,M,Mordai
Tiefling,First,M,Morthos
Tiefling,First,M,Pelaios
Tiefling,First,M,Skamos
Tiefling,First,M,Therai
Tiefling,First,F,Akta
Tiefling,First,F,Anakis
Tiefling,First,F,Bryseis
Tiefling,First,F,Criella
Tiefling,First,F,Damaia
Tiefling,First,F,Ea
Tiefling,First,F,Kallista
Tiefling,First,F,Lerissa
Tiefling,First,F,Makaria
Tiefling,First,F,Nemeia
Tiefling,First,F,Orianna
Tiefling,First,F,Phelaia
Tiefling,First,F,Rieta
