Level,Class,Name,School,Casting Time,Range,Duration,Components
1st Level,Sorcerer,Grease,Conjuration,1 Action,60 feet,1 minute,"V, S, M"
1st Level,Sorcerer,Ice Knife,Conjuration,1 Action,60 feet,Instantaneous,"S, M"
1st Level,Sorcerer,Id Insinuation (UA),Enchantment,1 Action,60 feet,"Concentration, up to 1 minute","V, S"
1st Level,Sorcerer,Infallible Relay (UA),Divination T,1 Minute,Self,"Concentration, up to 10 minutes","V, S, M"
1st Level,Sorcerer,Jump,Transmutation,1 Action,Touch,1 minute,"V, S, M"
1st Level,Sorcerer,Mage Armor,Abjuration,1 Action,Touch,8 hours,"V, S, M"
1st Level,Sorcerer,Magic Missile,Evocation,1 Action,120 feet,Instantaneous,"V, S"
1st Level,Sorcerer,Ray of Sickness,Necromancy,1 Action,60 feet,Instantaneous,"V, S"
1st Level,Sorcerer,Remote Access (UA),Transmutation T,1 Action,120 feet,10 minutes,"V, S"
1st Level,Sorcerer,Shield,Abjuration,1 Reaction,Self,1 round,"V, S"
1st Level,Sorcerer,Silent Image,Illusion,1 Action,60 feet,"Concentration, up to 10 minutes","V, S, M"
1st Level,Sorcerer,Sleep,Enchantment,1 Action,90 feet,1 minute,"V, S, M"
1st Level,Sorcerer,Sudden Awakening (UA),Enchantment,1 Bonus Action,10 feet,Instantaneous,V
1st Level,Sorcerer,Tasha's Caustic Brew,Evocation,1 Action,Self (30-foot line),"Concentration, up to 1 minute","V, S, M"
1st Level,Sorcerer,Thunderwave,Evocation,1 Action,Self (15-foot cube),Instantaneous,"V, S"
1st Level,Sorcerer,Witch Bolt,Evocation,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
1st Level,Warlock,Armor of Agathys,Abjuration,1 Action,Self,1 Hour,"V, S, M"
1st Level,Warlock,Arms of Hadar,Conjuration,1 Action,Self (10-foot radius),Instantaneous,"V, S"
1st Level,Warlock,Cause Fear,Necromancy,1 Action,60 feet,"Concentration, up to 1 minute","V, S"
1st Level,Warlock,Charm Person,Enchantment,1 Action,30 feet,1 Hour,"V, S"
1st Level,Warlock,Comprehend Languages,Divination,1 Action R,Self,1 hour,"V, S, M"
1st Level,Warlock,Distort Value,Illusion,1 Minute,Touch,8 hours,V
1st Level,Warlock,Expeditious Retreat,Transmutation,1 Bonus Action,Self,"Concentration, up to 10 minutes","V, S"
1st Level,Warlock,Healing Elixir (UA),Conjuration,1 Minute,Self,24 hours,"V, S, M"
1st Level,Warlock,Hellish Rebuke,Evocation,1 Reaction,60 feet,Instantaneous,"V, S"
1st Level,Warlock,Hex,Enchantment,1 Bonus Action,90 feet,"Concentration, up to 1 hour","V, S, M"
1st Level,Warlock,Id Insinuation (UA),Enchantment,1 Action,60 feet,"Concentration, up to 1 minute","V, S"
1st Level,Warlock,Illusory Script,Illusion,1 Minute,Touch,10 days,"S, M"
1st Level,Warlock,Infallible Relay (UA),Divination T,1 Minute,Self,"Concentration, up to 10 minutes","V, S, M"
1st Level,Warlock,Protection from Evil and Good,Abjuration,1 Action,Touch,"Concentration, up to 10 minutes","V, S, M"
1st Level,Warlock,Puppet (UA),Enchantment,1 Action,120 feet,Instantaneous,V
1st Level,Warlock,Remote Access (UA),Transmutation T,1 Action,120 feet,10 minutes,"V, S"
1st Level,Warlock,Sense Emotion (UA),Divination,1 Action,Self,"Concentration, up to 1 minute","V, S"
1st Level,Warlock,Unseen Servant,Conjuration,1 Action R,60 feet,1 hour,"V, S, M"
1st Level,Warlock,Witch Bolt,Evocation,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
1st Level,Wizard,Absorb Elements,Abjuration,1 Reaction,Self,1 round,S
1st Level,Wizard,Acid Stream (UA),Evocation,1 Action,Self (30-foot line),"Concentration, up to 1 minute","V, S, M"
1st Level,Wizard,Alarm,Abjuration,1 Action R,30 feet,8 Hours,"V, S, M"
1st Level,Wizard,Burning Hands,Evocation,1 Action,Self (15-foot cone),Instantaneous,"V, S"
1st Level,Wizard,Catapult,Transmutation,1 Action,60 feet,Instantaneous,S
1st Level,Wizard,Cause Fear,Necromancy,1 Action,60 feet,"Concentration, up to 1 minute","V, S"
1st Level,Wizard,Charm Person,Enchantment,1 Action,30 feet,1 Hour,"V, S"
1st Level,Wizard,Chromatic Orb,Evocation,1 Action,90 feet,Instantaneous,"V, S, M"
1st Level,Wizard,Color Spray,Illusion,1 Action,Self (15-foot cone),1 round,"V, S, M"
1st Level,Wizard,Comprehend Languages,Divination,1 Action R,Self,1 hour,"V, S, M"
1st Level,Wizard,Detect Magic,Divination,1 Action R,Self,"Concentration, up to 10 minutes","V, S"
1st Level,Wizard,Disguise Self,Illusion,1 Action,Self,1 hour,"V, S"
1st Level,Wizard,Distort Value,Illusion,1 Minute,Touch,8 hours,V
1st Level,Wizard,Earth Tremor,Evocation,1 Action,Self (10-foot radius),Instantaneous,"V, S"
1st Level,Wizard,Expeditious Retreat,Transmutation,1 Bonus Action,Self,"Concentration, up to 10 minutes","V, S"
1st Level,Wizard,False Life,Necromancy,1 Action,Self,1 hour,"V, S, M"
1st Level,Wizard,Feather Fall,Transmutation,1 Reaction,60 feet,1 minute,"V, M"
1st Level,Wizard,Find Familiar,Conjuration,1 Hour R,10 feet,Instantaneous,"V, S, M"
1st Level,Wizard,Fog Cloud,Conjuration,1 Action,120 feet,"Concentration, up to 1 hour","V, S"
1st Level,Wizard,Frost Fingers,Evocation,1 Action,Self (15-foot cone),Instantaneous,"V, S"
1st Level,Wizard,Gift of Alacrity,Divination DC,1 Minute,Touch,8 hours,"V, S"
1st Level,Wizard,Grease,Conjuration,1 Action,60 feet,1 minute,"V, S, M"
1st Level,Wizard,Guiding Hand (UA),Divination,1 Minute R,5 feet,"Concentration, up to 8 hours","V, S"
1st Level,Wizard,Healing Elixir (UA),Conjuration,1 Minute,Self,24 hours,"V, S, M"
1st Level,Wizard,Ice Knife,Conjuration,1 Action,60 feet,Instantaneous,"S, M"
1st Level,Wizard,Id Insinuation (UA),Enchantment,1 Action,60 feet,"Concentration, up to 1 minute","V, S"
1st Level,Wizard,Identify,Divination,1 Minute R,Touch,Instantaneous,"V, S, M"
1st Level,Wizard,Illusory Script,Illusion,1 Minute,Touch,10 days,"S, M"
1st Level,Wizard,Infallible Relay (UA),Divination T,1 Minute,Self,"Concentration, up to 10 minutes","V, S, M"
1st Level,Wizard,Jim's Magic Missile,Evocation,1 Action,120 feet,Instantaneous,"V, S, M"
1st Level,Wizard,Jump,Transmutation,1 Action,Touch,1 minute,"V, S, M"
1st Level,Wizard,Longstrider,Transmutation,1 Action,Touch,1 hour,"V, S, M"
1st Level,Wizard,Mage Armor,Abjuration,1 Action,Touch,8 hours,"V, S, M"
1st Level,Wizard,Magic Missile,Evocation,1 Action,120 feet,Instantaneous,"V, S"
1st Level,Wizard,Magnify Gravity,Transmutation DG,1 Action,60 feet,1 round,"V, S"
1st Level,Wizard,Protection from Evil and Good,Abjuration,1 Action,Touch,"Concentration, up to 10 minutes","V, S, M"
1st Level,Wizard,Puppet (UA),Enchantment,1 Action,120 feet,Instantaneous,V
1st Level,Wizard,Ray of Sickness,Necromancy,1 Action,60 feet,Instantaneous,"V, S"
1st Level,Wizard,Remote Access (UA),Transmutation T,1 Action,120 feet,10 minutes,"V, S"
1st Level,Wizard,Sense Emotion (UA),Divination,1 Action,Self,"Concentration, up to 1 minute","V, S"
1st Level,Wizard,Shield,Abjuration,1 Reaction,Self,1 round,"V, S"
1st Level,Wizard,Silent Image,Illusion,1 Action,60 feet,"Concentration, up to 10 minutes","V, S, M"
1st Level,Wizard,Sleep,Enchantment,1 Action,90 feet,1 minute,"V, S, M"
1st Level,Wizard,Snare,Abjuration,1 Minute,Touch,Until dispelled or triggered,"V, S, M"
1st Level,Wizard,Sudden Awakening (UA),Enchantment,1 Bonus Action,10 feet,Instantaneous,V
1st Level,Wizard,Tasha's Caustic Brew,Evocation,1 Action,Self (30-foot line),"Concentration, up to 1 minute","V, S, M"
1st Level,Wizard,Tasha's Hideous Laughter,Enchantment,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
1st Level,Wizard,Tenser's Floating Disk,Conjuration,1 Action R,30 feet,1 hour,"V, S, M"
1st Level,Wizard,Thunderwave,Evocation,1 Action,Self (15-foot cube),Instantaneous,"V, S"
1st Level,Wizard,Unseen Servant,Conjuration,1 Action R,60 feet,1 hour,"V, S, M"
1st Level,Wizard,Witch Bolt,Evocation,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Artificer,Aid,Abjuration,1 Action,30 Feet,8 hours,"V, S, M"
2nd Level,Artificer,Alter Self,Transmutation,1 Action,Self,"Concentration, up to 1 hour","V, S"
2nd Level,Artificer,Arcane Lock,Abjuration,1 Action,Touch,Until dispelled,"V, S, M"
2nd Level,Artificer,Blur,Illusion,1 Action,Self,"Concentration, up to 1 minute",V
2nd Level,Artificer,Continual Flame,Evocation,1 Action,Touch,Until dispelled,"V, S, M"
2nd Level,Artificer,Darkvision,Transmutation,1 Action,Touch,8 hours,"V, S, M"
2nd Level,Artificer,Enhance Ability,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M"
2nd Level,Artificer,Enlarge/Reduce,Transmutation,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Artificer,Heat Metal,Transmutation,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Artificer,Invisibility,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M"
2nd Level,Artificer,Lesser Restoration,Abjuration,1 Action,Touch,Instantaneous,"V, S"
2nd Level,Artificer,Levitate,Transmutation,1 Action,60 feet,"Concentration, up to 10 minutes","V, S, M"
2nd Level,Artificer,Magic Mouth,Illusion,1 Minute R,30 feet,Until dispelled,"V, S, M"
2nd Level,Artificer,Magic Weapon,Transmutation,1 Bonus Action,Touch,"Concentration, up to 1 hour","V, S"
2nd Level,Artificer,Protection from Poison,Abjuration,1 Action,Touch,1 hour,"V, S"
2nd Level,Artificer,Pyrotechnics,Transmutation,1 Action,60 feet,Instantaneous,"V, S"
2nd Level,Artificer,Rope Trick,Transmutation,1 Action,Touch,1 hour,"V, S, M"
2nd Level,Artificer,See Invisibility,Divination,1 Action,Self,1 hour,"V, S, M"
2nd Level,Artificer,Skywrite,Transmutation,1 Action R,Sight,"Concentration, up to 1 day","V, S"
2nd Level,Artificer,Spider Climb,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M"
2nd Level,Artificer,Web,Conjuration,1 Action,60 feet,"Concentration, up to 1 hour","V, S, M"
2nd Level,Bard,Aid,Abjuration,1 Action,30 Feet,8 hours,"V, S, M"
2nd Level,Bard,Animal Messenger,Enchantment,1 Action R,30 Feet,24 hours,"V, S, M"
2nd Level,Bard,Blindness/Deafness,Necromancy,1 Action,30 Feet,1 minute,V
2nd Level,Bard,Calm Emotions,Enchantment,1 Action,60 feet,"Concentration, up to 1 minute","V, S"
2nd Level,Bard,Cloud of Daggers,Conjuration,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Bard,Crown of Madness,Enchantment,1 Action,120 feet,"Concentration, up to 1 minute","V, S"
2nd Level,Bard,Detect Thoughts,Divination,1 Action,Touch,"Concentration, up to 1 minute","V, S, M"
2nd Level,Bard,Enhance Ability,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M"
2nd Level,Bard,Enlarge/Reduce,Transmutation,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Bard,Enthrall,Enchantment,1 Action,60 feet,1 minute,"V, S"
2nd Level,Bard,Gift of Gab,Enchantment,Reaction,Self,Instantaneous,"V, S, M"
2nd Level,Bard,Heat Metal,Transmutation,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Bard,Hold Person,Enchantment,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Bard,Invisibility,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M"
2nd Level,Bard,Knock,Transmutation,1 Action,60 feet,Instantaneous,V
2nd Level,Bard,Lesser Restoration,Abjuration,1 Action,Touch,Instantaneous,"V, S"
2nd Level,Bard,Locate Animals or Plants,Divination,1 Action R,Self,Instantaneous,"V, S, M"
2nd Level,Bard,Locate Object,Divination,1 Action,Self,"Concentration, up to 10 minutes","V, S, M"
2nd Level,Bard,Magic Mouth,Illusion,1 Minute R,30 feet,Until dispelled,"V, S, M"
2nd Level,Bard,Mirror Image,Illusion,1 Action,Self,1 minute,"V, S"
2nd Level,Bard,Nathair's Mischief (UA),Illusion,1 Action,60 feet,"Concentration, up to 1 minute","S, M"
2nd Level,Bard,Phantasmal Force,Illusion,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Bard,Pyrotechnics,Transmutation,1 Action,60 feet,Instantaneous,"V, S"
2nd Level,Bard,See Invisibility,Divination,1 Action,Self,1 hour,"V, S, M"
2nd Level,Bard,Shatter,Evocation,1 Action,60 feet,Instantaneous,"V, S, M"
2nd Level,Bard,Silence,Illusion,1 Action R,120 feet,"Concentration, up to 10 minutes","V, S"
2nd Level,Bard,Skywrite,Transmutation,1 Action R,Sight,"Concentration, up to 1 day","V, S"
2nd Level,Bard,Suggestion,Enchantment,1 Action,30 feet,"Concentration, up to 8 hours","V, M"
2nd Level,Bard,Warding Wind,Evocation,1 Action,Self,"Concentration, up to 10 minutes",V
2nd Level,Bard,Zone of Truth,Enchantment,1 Action,60 feet,10 minutes,"V, S"
2nd Level,Cleric,Aid,Abjuration,1 Action,30 Feet,8 hours,"V, S, M"
2nd Level,Cleric,Augury,Divination,1 Minute R,Self,Instantaneous,"V, S, M"
2nd Level,Cleric,Blindness/Deafness,Necromancy,1 Action,30 Feet,1 minute,V
2nd Level,Cleric,Calm Emotions,Enchantment,1 Action,60 feet,"Concentration, up to 1 minute","V, S"
2nd Level,Cleric,Continual Flame,Evocation,1 Action,Touch,Until dispelled,"V, S, M"
2nd Level,Cleric,Enhance Ability,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M"
2nd Level,Cleric,Find Traps,Divination,1 Action,120 feet,Instantaneous,"V, S"
2nd Level,Cleric,Gentle Repose,Necromancy,1 Action R,Touch,10 days,"V, S, M"
2nd Level,Cleric,Hold Person,Enchantment,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Cleric,Lesser Restoration,Abjuration,1 Action,Touch,Instantaneous,"V, S"
2nd Level,Cleric,Locate Object,Divination,1 Action,Self,"Concentration, up to 10 minutes","V, S, M"
2nd Level,Cleric,Prayer of Healing,Evocation,10 Minutes,Touch,Instantaneous,V
2nd Level,Cleric,Protection from Poison,Abjuration,1 Action,Touch,1 hour,"V, S"
2nd Level,Cleric,Silence,Illusion,1 Action R,120 feet,"Concentration, up to 10 minutes","V, S"
2nd Level,Cleric,Spiritual Weapon,Evocation,1 Bonus Action,60 feet,1 minute,"V, S"
2nd Level,Cleric,Warding Bond,Abjuration,1 Action,Touch,1 hour,"V, S, M"
2nd Level,Cleric,Zone of Truth,Enchantment,1 Action,60 feet,10 minutes,"V, S"
2nd Level,Druid,Animal Messenger,Enchantment,1 Action R,30 Feet,24 hours,"V, S, M"
2nd Level,Druid,Augury,Divination,1 Minute R,Self,Instantaneous,"V, S, M"
2nd Level,Druid,Barkskin,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M"
2nd Level,Druid,Beast Sense,Divination,1 Action R,Touch,"Concentration, up to 1 hour",S
2nd Level,Druid,Continual Flame,Evocation,1 Action,Touch,Until dispelled,"V, S, M"
2nd Level,Druid,Darkvision,Transmutation,1 Action,Touch,8 hours,"V, S, M"
2nd Level,Druid,Dust Devil,Conjuration,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Druid,Earthbind,Transmutation,1 Action,300 feet,"Concentration, up to 1 minute",V
2nd Level,Druid,Enhance Ability,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M"
2nd Level,Druid,Enlarge/Reduce,Transmutation,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Druid,Find Traps,Divination,1 Action,120 feet,Instantaneous,"V, S"
2nd Level,Druid,Flame Blade,Evocation,1 Bonus Action,Self,"Concentration, up to 10 minutes","V, S, M"
2nd Level,Druid,Flaming Sphere,Conjuration,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Druid,Gust of Wind,Evocation,1 Action,Self (60-foot line),"Concentration, up to 1 minute","V, S, M"
2nd Level,Druid,Healing Spirit,Conjuration,1 Bonus Action,60 feet,"Concentration, up to 1 minute","V, S"
2nd Level,Druid,Heat Metal,Transmutation,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Druid,Hold Person,Enchantment,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Druid,Lesser Restoration,Abjuration,1 Action,Touch,Instantaneous,"V, S"
2nd Level,Druid,Locate Animals or Plants,Divination,1 Action R,Self,Instantaneous,"V, S, M"
2nd Level,Druid,Locate Object,Divination,1 Action,Self,"Concentration, up to 10 minutes","V, S, M"
2nd Level,Druid,Moonbeam,Evocation,1 Action,120 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Druid,Pass Without Trace,Abjuration,1 Action,Self,"Concentration, up to 1 hour","V, S, M"
2nd Level,Druid,Protection from Poison,Abjuration,1 Action,Touch,1 hour,"V, S"
2nd Level,Druid,Skywrite,Transmutation,1 Action R,Sight,"Concentration, up to 1 day","V, S"
2nd Level,Druid,Spike Growth,Transmutation,1 Action,150 feet,"Concentration, up to 10 minutes","V, S, M"
2nd Level,Druid,Summon Beast,Conjuration,1 Action,90 feet,"Concentration, up to 1 hour","V, S, M"
2nd Level,Druid,Warding Wind,Evocation,1 Action,Self,"Concentration, up to 10 minutes",V
2nd Level,Paladin,Aid,Abjuration,1 Action,30 Feet,8 hours,"V, S, M"
2nd Level,Paladin,Branding Smite,Evocation,1 Bonus Action,Self,"Concentration, up to 1 minute",V
2nd Level,Paladin,Find Steed,Conjuration,10 Minutes,30 feet,Instantaneous,"V, S"
2nd Level,Paladin,Find Vehicle (UA),Conjuration T,10 Minutes,30 feet,8 hours,"V, S"
2nd Level,Paladin,Gentle Repose,Necromancy,1 Action R,Touch,10 days,"V, S, M"
2nd Level,Paladin,Lesser Restoration,Abjuration,1 Action,Touch,Instantaneous,"V, S"
2nd Level,Paladin,Locate Object,Divination,1 Action,Self,"Concentration, up to 10 minutes","V, S, M"
2nd Level,Paladin,Magic Weapon,Transmutation,1 Bonus Action,Touch,"Concentration, up to 1 hour","V, S"
2nd Level,Paladin,Prayer of Healing,Evocation,10 Minutes,Touch,Instantaneous,V
2nd Level,Paladin,Protection from Poison,Abjuration,1 Action,Touch,1 hour,"V, S"
2nd Level,Paladin,Warding Bond,Abjuration,1 Action,Touch,1 hour,"V, S, M"
2nd Level,Paladin,Zone of Truth,Enchantment,1 Action,60 feet,10 minutes,"V, S"
2nd Level,Ranger,Aid,Abjuration,1 Action,30 Feet,8 hours,"V, S, M"
2nd Level,Ranger,Animal Messenger,Enchantment,1 Action R,30 Feet,24 hours,"V, S, M"
2nd Level,Ranger,Barkskin,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M"
2nd Level,Ranger,Beast Sense,Divination,1 Action R,Touch,"Concentration, up to 1 hour",S
2nd Level,Ranger,Cordon of Arrows,Transmutation,1 Action,5 feet,8 hours,"V, S, M"
2nd Level,Ranger,Darkvision,Transmutation,1 Action,Touch,8 hours,"V, S, M"
2nd Level,Ranger,Enhance Ability,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M"
2nd Level,Ranger,Find Traps,Divination,1 Action,120 feet,Instantaneous,"V, S"
2nd Level,Ranger,Gust of Wind,Evocation,1 Action,Self (60-foot line),"Concentration, up to 1 minute","V, S, M"
2nd Level,Ranger,Healing Spirit,Conjuration,1 Bonus Action,60 feet,"Concentration, up to 1 minute","V, S"
2nd Level,Ranger,Lesser Restoration,Abjuration,1 Action,Touch,Instantaneous,"V, S"
2nd Level,Ranger,Locate Animals or Plants,Divination,1 Action R,Self,Instantaneous,"V, S, M"
2nd Level,Ranger,Locate Object,Divination,1 Action,Self,"Concentration, up to 10 minutes","V, S, M"
2nd Level,Ranger,Magic Weapon,Transmutation,1 Bonus Action,Touch,"Concentration, up to 1 hour","V, S"
2nd Level,Ranger,Pass Without Trace,Abjuration,1 Action,Self,"Concentration, up to 1 hour","V, S, M"
2nd Level,Ranger,Protection from Poison,Abjuration,1 Action,Touch,1 hour,"V, S"
2nd Level,Ranger,Silence,Illusion,1 Action R,120 feet,"Concentration, up to 10 minutes","V, S"
2nd Level,Ranger,Spike Growth,Transmutation,1 Action,150 feet,"Concentration, up to 10 minutes","V, S, M"
2nd Level,Ranger,Summon Beast,Conjuration,1 Action,90 feet,"Concentration, up to 1 hour","V, S, M"
2nd Level,Sorcerer,Aganazzar's Scorcher,Evocation,1 Action,30 Feet,Instantaneous,"V, S, M"
2nd Level,Sorcerer,Alter Self,Transmutation,1 Action,Self,"Concentration, up to 1 hour","V, S"
2nd Level,Sorcerer,Arcane Hacking (UA),Transmutation T,1 Action,Self,"Concentration, up to 1 hour","V, S, M"
2nd Level,Sorcerer,Blindness/Deafness,Necromancy,1 Action,30 Feet,1 minute,V
2nd Level,Sorcerer,Blur,Illusion,1 Action,Self,"Concentration, up to 1 minute",V
2nd Level,Sorcerer,Cloud of Daggers,Conjuration,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Sorcerer,Crown of Madness,Enchantment,1 Action,120 feet,"Concentration, up to 1 minute","V, S"
2nd Level,Sorcerer,Darkness,Evocation,1 Action,60 feet,"Concentration, up to 10 minutes","V, M"
2nd Level,Sorcerer,Darkvision,Transmutation,1 Action,Touch,8 hours,"V, S, M"
2nd Level,Sorcerer,Detect Thoughts,Divination,1 Action,Touch,"Concentration, up to 1 minute","V, S, M"
2nd Level,Sorcerer,Digital Phantom (UA),Abjuration T,1 Action,Self,"Concentration, up to 1 hour","V, S, M"
2nd Level,Sorcerer,Dragon's Breath,Transmutation,1 Action,Touch,"Concentration, up to 1 minute","V, S, M"
2nd Level,Sorcerer,Dust Devil,Conjuration,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Sorcerer,Earthbind,Transmutation,1 Action,300 feet,"Concentration, up to 1 minute",V
2nd Level,Sorcerer,Enhance Ability,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M"
2nd Level,Sorcerer,Enlarge/Reduce,Transmutation,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Sorcerer,Find Vehicle (UA),Conjuration T,10 Minutes,30 feet,8 hours,"V, S"
2nd Level,Sorcerer,Flame Blade,Evocation,1 Bonus Action,Self,"Concentration, up to 10 minutes","V, S, M"
2nd Level,Sorcerer,Flaming Sphere,Conjuration,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Sorcerer,Gust of Wind,Evocation,1 Action,Self (60-foot line),"Concentration, up to 1 minute","V, S, M"
2nd Level,Sorcerer,Hold Person,Enchantment,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Sorcerer,Icingdeath's Frost (UA),Evocation,1 Action,Self (15-foot cone),Instantaneous,"S, M"
2nd Level,Sorcerer,Invisibility,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M"
2nd Level,Sorcerer,Knock,Transmutation,1 Action,60 feet,Instantaneous,V
2nd Level,Sorcerer,Levitate,Transmutation,1 Action,60 feet,"Concentration, up to 10 minutes","V, S, M"
2nd Level,Sorcerer,Magic Weapon,Transmutation,1 Bonus Action,Touch,"Concentration, up to 1 hour","V, S"
2nd Level,Sorcerer,Maximillian's Earthen Grasp,Transmutation,1 Action,30 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Sorcerer,Mental Barrier (UA),Abjuration,1 Reaction,Self,1 round,V
2nd Level,Sorcerer,Mind Spike,Divination,1 Action,60 feet,"Concentration, up to 1 hour",S
2nd Level,Sorcerer,Mind Thrust (UA),Enchantment,1 Bonus Action,60 feet,1 round,"V, S"
2nd Level,Sorcerer,Mirror Image,Illusion,1 Action,Self,1 minute,"V, S"
2nd Level,Sorcerer,Misty Step,Conjuration,1 Bonus Action,Self,Instantaneous,V
2nd Level,Sorcerer,Nathair's Mischief (UA),Illusion,1 Action,60 feet,"Concentration, up to 1 minute","S, M"
2nd Level,Sorcerer,Phantasmal Force,Illusion,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Sorcerer,Pyrotechnics,Transmutation,1 Action,60 feet,Instantaneous,"V, S"
2nd Level,Sorcerer,Scorching Ray,Evocation,1 Action,120 feet,Instantaneous,"V, S"
2nd Level,Sorcerer,See Invisibility,Divination,1 Action,Self,1 hour,"V, S, M"
2nd Level,Sorcerer,Shadow Blade,Illusion,1 Bonus Action,Self,"Concentration, up to 1 minute","V, S"
2nd Level,Sorcerer,Shatter,Evocation,1 Action,60 feet,Instantaneous,"V, S, M"
2nd Level,Sorcerer,Snilloc's Snowball Storm,Evocation,1 Action,90 feet,Instantaneous,"V, S, M"
2nd Level,Sorcerer,Spider Climb,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M"
2nd Level,Sorcerer,Suggestion,Enchantment,1 Action,30 feet,"Concentration, up to 8 hours","V, M"
2nd Level,Sorcerer,Tasha's Mind Whip,Enchantment,1 Action,90 feet,1 round,V
2nd Level,Sorcerer,Thought Shield (UA),Abjuration,1 Action,Touch,8 hours,"V, S"
2nd Level,Sorcerer,Warding Wind,Evocation,1 Action,Self,"Concentration, up to 10 minutes",V
2nd Level,Sorcerer,Web,Conjuration,1 Action,60 feet,"Concentration, up to 1 hour","V, S, M"
2nd Level,Warlock,Arcane Hacking (UA),Transmutation T,1 Action,Self,"Concentration, up to 1 hour","V, S, M"
2nd Level,Warlock,Cloud of Daggers,Conjuration,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Warlock,Crown of Madness,Enchantment,1 Action,120 feet,"Concentration, up to 1 minute","V, S"
2nd Level,Warlock,Darkness,Evocation,1 Action,60 feet,"Concentration, up to 10 minutes","V, M"
2nd Level,Warlock,Digital Phantom (UA),Abjuration T,1 Action,Self,"Concentration, up to 1 hour","V, S, M"
2nd Level,Warlock,Earthbind,Transmutation,1 Action,300 feet,"Concentration, up to 1 minute",V
2nd Level,Warlock,Enthrall,Enchantment,1 Action,60 feet,1 minute,"V, S"
2nd Level,Warlock,Find Vehicle (UA),Conjuration T,10 Minutes,30 feet,8 hours,"V, S"
2nd Level,Warlock,Flock of Familiars,Conjuration,1 Minute,Touch,1 hour,"V, S"
2nd Level,Warlock,Hold Person,Enchantment,1 Action,60 feet,"Concentration, up to 1 minute","V, S, M"
2nd Level,Warlock,Invisibility,Transmutation,1 Action,Touch,"Concentration, up to 1 hour","V, S, M"
2nd Level,Warlock,Mental Barrier (UA),Abjuration,1 Reaction,Self,1 round,V
2nd Level,Warlock,Mind Spike,Divination,1 Action,60 feet,"Concentration, up to 1 hour",S
2nd Level,Warlock,Mind Thrust (UA),Enchantment,1 Bonus Action,60 feet,1 round,"V, S"
2nd Level,Warlock,Mirror Image,Illusion,1 Action,Self,1 minute,"V, S"
2nd Level,Warlock,Misty Step,Conjuration,1 Bonus Action,Self,Instantaneous,V
2nd Level,Warlock,Ray of Enfeeblement,Necromancy,1 Action,60 feet,"Concentration, up to 1 minute","V, S"
2nd Level,Warlock,Shadow Blade,Illusion,1 Bonus Action,Self,"Concentration, up to 1 minute","V, S"
