Background,Item,Description,Source
Soldier,Role,Standard-bearer,Player's Handbook
Soldier,Role,"Support staff (cook, blacksmith, or the like)",Player's Handbook
Soldier,Trait,I'm always polite and respectful.,Player's Handbook
Soldier,Trait,I'm haunted by memories of war. I can't get the images of violence out of my mind.,Player's Handbook
Soldier,Trait,"I've lost too many friends, and I'm slow to make new ones.",Player's Handbook
Soldier,Trait,I'm full of inspiring and cautionary tales from my military experience relevant to almost every combat situation.,Player's Handbook
Soldier,Trait,I can stare down a hell hound without flinching.,Player's Handbook
Soldier,Trait,I enjoy being strong and like breaking things.,Player's Handbook
Soldier,Trait,I have a crude sense of humor.,Player's Handbook
Soldier,Trait,"I face problems head-on. A simple, direct solution is the best path to success.",Player's Handbook
Soldier,Ideal,Greater Good. Our lot is to lay down our lives in defense of others. (Good),Player's Handbook
Soldier,Ideal,Responsibility. I do what I must and obey just authority. (Lawful),Player's Handbook
Soldier,Ideal,"Independence. When people follow orders blindly, they embrace a kind of tyranny. (Chaotic)",Player's Handbook
Soldier,Ideal,"Might. In life as in war, the stronger force wins. (Evil)",Player's Handbook
Soldier,Ideal,Live and Let Live. Ideals aren't worth killing over or going to war for. (Neutral),Player's Handbook
Soldier,Ideal,"Nation. My city, nation, or people are all that matter. (Any)",Player's Handbook
Soldier,Bond,I would still lay down my life for the people I served with.,Player's Handbook
Soldier,Bond,"Someone saved my life on the battlefield. To this day, I will never leave a friend behind.",Player's Handbook
Soldier,Bond,My honor is my life.,Player's Handbook
Soldier,Bond,I'll never forget the crushing defeat my company suffered or the enemies who dealt it.,Player's Handbook
Soldier,Bond,Those who fight beside me are those worth dying for.,Player's Handbook
Soldier,Bond,I fight for those who cannot fight for themselves.,Player's Handbook
Soldier,Flaw,The monstrous enemy we faced in battle still leaves me quivering with fear.,Player's Handbook
Soldier,Flaw,I have little respect for anyone who is not a proven warrior.,Player's Handbook
Soldier,Flaw,I made a terrible mistake in battle that cost many lives-and I would do anything to keep that mistake secret.,Player's Handbook
Soldier,Flaw,My hatred of my enemies is blinding and unreasoning.,Player's Handbook
Soldier,Flaw,"I obey the law, even if the law causes misery.",Player's Handbook
Soldier,Flaw,I'd rather eat my armor than admit when I'm wrong.,Player's Handbook
Spy,Specialty,Blackmailer,Player's Handbook
Spy,Specialty,Burglar,Player's Handbook
Spy,Specialty,Enforcer,Player's Handbook
Spy,Specialty,Fence,Player's Handbook
Spy,Specialty,Highway robber,Player's Handbook
Spy,Specialty,Hired killer,Player's Handbook
Spy,Specialty,Pickpocket,Player's Handbook
Spy,Specialty,Smuggler,Player's Handbook
Spy,Trait,I always have a plan for when things go wrong.,Player's Handbook
Spy,Trait,"I am always calm, no matter what the situation. I never raise my voice or let my emotions control me.",Player's Handbook
Spy,Trait,The first thing I do in a new place is note the locations of everything valuable-or where such things could be hidden.,Player's Handbook
Spy,Trait,I would rather make a new friend than a new enemy.,Player's Handbook
Spy,Trait,I am incredibly slow to trust. Those who seem the fairest often have the most to hide.,Player's Handbook
Spy,Trait,I don't pay attention to the risks in a situation. Never tell me the odds.,Player's Handbook
Spy,Trait,The best way to get me to do something is to tell me I can't do it.,Player's Handbook
Spy,Trait,I blow up at the slightest insult.,Player's Handbook
Spy,Ideal,Honor. I don't steal from others in the trade. (Lawful),Player's Handbook
Spy,Ideal,"Freedom. Chains are meant to be broken, as are those who would forge them. (Chaotic)",Player's Handbook
Spy,Ideal,Charity. I steal from the wealthy so that I can help people in need. (Good),Player's Handbook
Spy,Ideal,Greed. I will do whatever it takes to become wealthy. (Evil),Player's Handbook
Spy,Ideal,"People. I'm loyal to my friends, not to any ideals, and everyone else can take a trip down the Styx for all I care. (Neutral)",Player's Handbook
Spy,Ideal,Redemption. There's a spark of good in everyone. (Good),Player's Handbook
Spy,Bond,I'm trying to pay off an old debt I owe to a generous benefactor.,Player's Handbook
Spy,Bond,My ill-gotten gains go to support my family.,Player's Handbook
Spy,Bond,"Something important was taken from me, and I aim to steal it back.",Player's Handbook
Spy,Bond,I will become the greatest thief that ever lived.,Player's Handbook
Spy,Bond,I'm guilty of a terrible crime. I hope I can redeem myself for it.,Player's Handbook
Spy,Bond,Someone I loved died because of a mistake I made. That will never happen again.,Player's Handbook
Spy,Flaw,"When I see something valuable, I can't think about anything but how to steal it.",Player's Handbook
Spy,Flaw,"When faced with a choice between money and my friends, I usually choose the money.",Player's Handbook
Spy,Flaw,"If there's a plan, I'll forget it. If I don't forget it, I'll ignore it.",Player's Handbook
Spy,Flaw,I have a 'tell' that reveals when I'm lying.,Player's Handbook
Spy,Flaw,I turn tail and run when things look bad.,Player's Handbook
Spy,Flaw,An innocent person is in prison for a crime that I committed. I'm okay with that.,Player's Handbook
Urchin,Trait,I hide scraps of food and trinkets away in my pockets.,Player's Handbook
Urchin,Trait,I ask a lot of questions.,Player's Handbook
Urchin,Trait,I like to squeeze into small places where no one else can get to me.,Player's Handbook
Urchin,Trait,"I sleep with my back to a wall or tree, with everything I own wrapped in a bundle in my arms.",Player's Handbook
Urchin,Trait,I eat like a pig and have bad manners.,Player's Handbook
Urchin,Trait,I think anyone who's nice to me is hiding evil intent.,Player's Handbook
Urchin,Trait,I don't like to bathe.,Player's Handbook
Urchin,Trait,I bluntly say what others are hinting at or hiding.,Player's Handbook
Urchin,Ideal,"Respect. All people, rich or poor, deserve respect. (Good)",Player's Handbook
Urchin,Ideal,"Community. We have to take care of each other, because no one else is going to do it. (Lawful)",Player's Handbook
Urchin,Ideal,"Change. The low are lifted up, and the high and mighty are brought down. Change is the nature of things. (Chaotic)",Player's Handbook
Urchin,Ideal,Retribution. The rich need to be shown what life and death are like in the gutters. (Evil),Player's Handbook
Urchin,Ideal,People. I help the people who help me-that's what keeps us alive. (Neutral),Player's Handbook
Urchin,Ideal,Aspiration. I'm going to prove that I'm worthy of a better life. (Any),Player's Handbook
Urchin,Bond,"My town or city is my home, and I'll fight to defend it.",Player's Handbook
Urchin,Bond,I sponsor an orphanage to keep others from enduring what I was forced to endure.,Player's Handbook
Urchin,Bond,I owe my survival to another urchin who taught me to live on the streets.,Player's Handbook
Urchin,Bond,I owe a debt I can never repay to the person who took pity on me.,Player's Handbook
Urchin,Bond,"I escaped my life of poverty by robbing an important person, and I'm wanted for it.",Player's Handbook
Urchin,Bond,No one else should have to endure the hardships I've been through.,Player's Handbook
Urchin,Flaw,"If I'm outnumbered, I will run away from a fight.",Player's Handbook
Urchin,Flaw,"Gold seems like a lot of money to me, and I'll do just about anything for more of it.",Player's Handbook
Urchin,Flaw,I will never fully trust anyone other than myself.,Player's Handbook
Urchin,Flaw,I'd rather kill someone in their sleep than fight fair.,Player's Handbook
Urchin,Flaw,It's not stealing if I need it more than someone else.,Player's Handbook
Urchin,Flaw,People who can't take care of themselves get what they deserve.,Player's Handbook
Anthropologist,Trait,"I prefer the company of those who aren't like me, including people of other races.",Tomb of Annihilation
Anthropologist,Trait,I'm a stickler when it comes to observing proper etiquette and local customs.,Tomb of Annihilation
Anthropologist,Trait,I would rather observe than meddle.,Tomb of Annihilation
Anthropologist,Trait,"By living among violent people, I have become desensitized to violence.",Tomb of Annihilation
Anthropologist,Trait,I would risk life and limb to discover a new culture or unravel the secrets of a dead one.,Tomb of Annihilation
Anthropologist,Trait,"When I arrive at a new settlement for the first time, I must learn all its customs.",Tomb of Annihilation
Anthropologist,Ideal,Discovery. I want to be the first person to discover a lost culture. (Any),Tomb of Annihilation
Anthropologist,Ideal,Distance. One must not interfere with the affairs of another culture – even one in need of aid. (Lawful),Tomb of Annihilation
Anthropologist,Ideal,"Knowledge. By understanding other races and cultures, we learn to understand ourselves. (Any)",Tomb of Annihilation
Anthropologist,Ideal,"Power. Common people crave strong leadership, and I do my utmost to provide it. (Lawful)",Tomb of Annihilation
Anthropologist,Ideal,Protection. I must do everything possible to save a society facing extinction. (Good),Tomb of Annihilation
Anthropologist,Ideal,Indifferent. Life is cruel. What's the point in saving people if they're going to die anyway? (Chaotic),Tomb of Annihilation
Anthropologist,Bond,My mentor gave me a journal filled with lore and wisdom. Losing it would devastate me.,Tomb of Annihilation
Anthropologist,Bond,"Having lived among the people of a primeval tribe or clan, I long to return and see how they are faring.",Tomb of Annihilation
Anthropologist,Bond,"Years ago, tragedy struck the members of an isolated society I befriended, and I will honor them.",Tomb of Annihilation
Anthropologist,Bond,I want to learn more about a particular humanoid culture that fascinates me.,Tomb of Annihilation
Anthropologist,Bond,"I seek to avenge a clan, tribe, kingdom, or empire that was wiped out.",Tomb of Annihilation
Anthropologist,Bond,I have a trinket that I believe is the key to finding a long-lost society.,Tomb of Annihilation
Anthropologist,Flaw,Boats make me seasick.,Tomb of Annihilation
Anthropologist,Flaw,"I talk to myself, and I don't make friends easily.",Tomb of Annihilation
Anthropologist,Flaw,I believe that I'm intellectually superior to people from other cultures and have much to teach them.,Tomb of Annihilation
Anthropologist,Flaw,"I've picked up some unpleasant habits living among races such as goblins, lizardfolk, or orcs.",Tomb of Annihilation
Anthropologist,Flaw,I complain about everything.,Tomb of Annihilation
Anthropologist,Flaw,I wear a tribal mask and never take it off.,Tomb of Annihilation
Archaeologist,Signature Item,10-foot pole,Tomb of Annihilation
Archaeologist,Signature Item,Medallion,Tomb of Annihilation
Archaeologist,Signature Item,Crowbar,Tomb of Annihilation
Archaeologist,Signature Item,Shovel,Tomb of Annihilation
Archaeologist,Signature Item,Hat,Tomb of Annihilation
Archaeologist,Signature Item,Sledgehammer,Tomb of Annihilation
Archaeologist,Signature Item,Hooded lantern,Tomb of Annihilation
Archaeologist,Signature Item,Whip,Tomb of Annihilation
Archaeologist,Trait,I love a good puzzle or mystery.,Tomb of Annihilation
Archaeologist,Trait,I'm a pack rat who never throws anything away.,Tomb of Annihilation
Archaeologist,Trait,Fame is more important to me than money.,Tomb of Annihilation
Archaeologist,Trait,I have no qualms about stealing from the dead.,Tomb of Annihilation
Archaeologist,Trait,I'm happier in a dusty old tomb than I am in the centers of civilization.,Tomb of Annihilation
Archaeologist,Trait,Traps don't make me nervous. Idiots who trigger traps make me nervous.,Tomb of Annihilation
Archaeologist,Trait,"I might fail, but I will never give up.",Tomb of Annihilation
Archaeologist,Trait,"You might think I'm a scholar, but I love a good brawl. These fists were made for punching.",Tomb of Annihilation
Archaeologist,Ideal,Preservation. That artifact belongs in a museum. (Good),Tomb of Annihilation
Archaeologist,Ideal,Greed. I won't risk my life for nothing. I expect some kind of payment. (Any),Tomb of Annihilation
Archaeologist,Ideal,Death Wish. Nothing is more exhilarating than a narrow escape from the jaws of death. (Chaotic),Tomb of Annihilation
Archaeologist,Ideal,Dignity. The dead and their belongings deserve to be treated with respect. (Lawful),Tomb of Annihilation
Archaeologist,Ideal,Immortality. All my exploring is part of a plan to find the secret of everlasting life. (Any),Tomb of Annihilation
Archaeologist,Ideal,Danger. With every great discovery comes grave danger. The two walk hand in hand. (Any),Tomb of Annihilation
Archaeologist,Bond,"Ever since I was a child, I've heard stories about a lost city. I aim to find it, learn its secrets, and earn my place in the history books.",Tomb of Annihilation
Archaeologist,Bond,"I want to find my mentor, who disappeared on an expedition some time ago.",Tomb of Annihilation
Archaeologist,Bond,"I have a friendly rival. Only one of us can be the best, and I aim to prove it's me.",Tomb of Annihilation
Archaeologist,Bond,I won't sell an art object or other treasure that has historical significance or is one of a kind.,Tomb of Annihilation
Archaeologist,Bond,I'm secretly in love with the wealthy patron who sponsors my archaeological exploits.,Tomb of Annihilation
Archaeologist,Bond,"I hope to bring prestige to a library, a museum, or a university.",Tomb of Annihilation
Archaeologist,Flaw,"I have a secret fear of some common wild animal – and in my work, I see them everywhere.",Tomb of Annihilation
Archaeologist,Flaw,I can't leave a room without searching it for secret doors.,Tomb of Annihilation
Archaeologist,Flaw,"When I'm not exploring dungeons or ruins, I get jittery and impatient.",Tomb of Annihilation
Archaeologist,Flaw,I have no time for friends or family. I spend every waking moment thinking about and preparing for my next expedition.,Tomb of Annihilation
Archaeologist,Flaw,"When given the choice of going left or right, I always go left.",Tomb of Annihilation
Archaeologist,Flaw,I can't sleep except in total darkness.,Tomb of Annihilation
Athlete,Favored Event,Marathon,Mythic Odysseys of Theros
Athlete,Favored Event,Long-distance running,Mythic Odysseys of Theros
Athlete,Favored Event,Wrestling,Mythic Odysseys of Theros
Athlete,Favored Event,Boxing,Mythic Odysseys of Theros
Athlete,Favored Event,Chariot or horse race,Mythic Odysseys of Theros
Athlete,Favored Event,Pankration (mixed unarmed combat),Mythic Odysseys of Theros
Athlete,Favored Event,Hoplite race (racing in full armor with a unit),Mythic Odysseys of Theros
Athlete,Favored Event,"Pentathlon (running, long jump, discus, javelin, wrestling)",Mythic Odysseys of Theros
Athlete,Trait,"I feel most at peace during physical exertion, whether exercise or battle.",Mythic Odysseys of Theros
Athlete,Trait,I don't like to sit idle.,Mythic Odysseys of Theros
Athlete,Trait,I have a daily exercise routine I refuse to break.,Mythic Odysseys of Theros
Athlete,Trait,Obstacles exist to be overcome.,Mythic Odysseys of Theros
Athlete,Trait,"When I see others struggling, I offer to help.",Mythic Odysseys of Theros
Athlete,Trait,I love to trade banter and gibes.,Mythic Odysseys of Theros
Athlete,Trait,Anything worth doing is worth doing best.,Mythic Odysseys of Theros
Athlete,Trait,I get irritated if people praise someone else and not me.,Mythic Odysseys of Theros
Athlete,Ideal,Competition. I strive to test myself in all things. (Chaotic),Mythic Odysseys of Theros
Athlete,Ideal,Triumph. The best part of winning is seeing my rivals brought low. (Evil),Mythic Odysseys of Theros
Athlete,Ideal,Camaraderie. The strongest bonds are forged through struggle. (Good),Mythic Odysseys of Theros
Athlete,Ideal,People. I strive to inspire my spectators. (Neutral),Mythic Odysseys of Theros
Athlete,Ideal,"Tradition. Every game has rules, and the playing field must be level. (Lawful)",Mythic Odysseys of Theros
Athlete,Ideal,Growth. Lessons hide in victory and defeat. (Any),Mythic Odysseys of Theros
Athlete,Bond,My teammates are my family.,Mythic Odysseys of Theros
Athlete,Bond,I will overcome a rival and prove myself their better.,Mythic Odysseys of Theros
Athlete,Bond,My mistake got someone hurt. Ill never make that mistake again.,Mythic Odysseys of Theros
Athlete,Bond,I will be the best for the honor and glory of my home.,Mythic Odysseys of Theros
Athlete,Bond,The person who trained me is the most important person in my world.,Mythic Odysseys of Theros
Athlete,Bond,I strive to live up to a specific hero's example.,Mythic Odysseys of Theros
Athlete,Flaw,I indulge in a habit that threatens my reputation or health.,Mythic Odysseys of Theros
Athlete,Flaw,I'll do absolutely anything to win.,Mythic Odysseys of Theros
Athlete,Flaw,I ignore anyone who doesn't compete and anyone who loses to me.,Mythic Odysseys of Theros
Athlete,Flaw,I have lingering pain of old injuries.,Mythic Odysseys of Theros
Athlete,Flaw,Any defeat or failure on my part is because my opponents cheated.,Mythic Odysseys of Theros
Athlete,Flaw,I must be the captain of any group I join.,Mythic Odysseys of Theros
City Watch,Role,Officer,Sword Coast Adventurer's Guide
City Watch,Role,Scout,Sword Coast Adventurer's Guide
City Watch,Role,Infantry,Sword Coast Adventurer's Guide
City Watch,Role,Cavalry,Sword Coast Adventurer's Guide
City Watch,Role,Healer,Sword Coast Adventurer's Guide
City Watch,Role,Quartermaster,Sword Coast Adventurer's Guide
City Watch,Role,Standard-bearer,Sword Coast Adventurer's Guide
City Watch,Role,"Support staff (cook, blacksmith, or the like)",Sword Coast Adventurer's Guide
City Watch,Trait,I'm always polite and respectful.,Sword Coast Adventurer's Guide
City Watch,Trait,I'm haunted by memories of war. I can't get the images of violence out of my mind.,Sword Coast Adventurer's Guide
City Watch,Trait,"I've lost too many friends, and I'm slow to make new ones.",Sword Coast Adventurer's Guide
City Watch,Trait,I'm full of inspiring and cautionary tales from my military experience relevant to almost every combat situation.,Sword Coast Adventurer's Guide
City Watch,Trait,I can stare down a hell hound without flinching.,Sword Coast Adventurer's Guide
City Watch,Trait,I enjoy being strong and like breaking things.,Sword Coast Adventurer's Guide
City Watch,Trait,I have a crude sense of humor.,Sword Coast Adventurer's Guide
City Watch,Trait,"I face problems head-on. A simple, direct solution is the best path to success.",Sword Coast Adventurer's Guide
City Watch,Ideal,Greater Good. Our lot is to lay down our lives in defense of others. (Good),Sword Coast Adventurer's Guide
City Watch,Ideal,Responsibility. I do what I must and obey just authority. (Lawful),Sword Coast Adventurer's Guide
City Watch,Ideal,"Independence. When people follow orders blindly, they embrace a kind of tyranny. (Chaotic)",Sword Coast Adventurer's Guide
City Watch,Ideal,"Might. In life as in war, the stronger force wins. (Evil)",Sword Coast Adventurer's Guide
City Watch,Ideal,Live and Let Live. Ideals aren't worth killing over or going to war for. (Neutral),Sword Coast Adventurer's Guide
City Watch,Ideal,"Nation. My city, nation, or people are all that matter. (Any)",Sword Coast Adventurer's Guide
City Watch,Bond,I would still lay down my life for the people I served with.,Sword Coast Adventurer's Guide
City Watch,Bond,"Someone saved my life on the battlefield. To this day, I will never leave a friend behind.",Sword Coast Adventurer's Guide
City Watch,Bond,My honor is my life.,Sword Coast Adventurer's Guide
City Watch,Bond,I'll never forget the crushing defeat my company suffered or the enemies who dealt it.,Sword Coast Adventurer's Guide
City Watch,Bond,Those who fight beside me are those worth dying for.,Sword Coast Adventurer's Guide
City Watch,Bond,I fight for those who cannot fight for themselves.,Sword Coast Adventurer's Guide
City Watch,Flaw,The monstrous enemy we faced in battle still leaves me quivering with fear.,Sword Coast Adventurer's Guide
City Watch,Flaw,I have little respect for anyone who is not a proven warrior.,Sword Coast Adventurer's Guide
City Watch,Flaw,I made a terrible mistake in battle that cost many lives-and I would do anything to keep that mistake secret.,Sword Coast Adventurer's Guide
City Watch,Flaw,My hatred of my enemies is blinding and unreasoning.,Sword Coast Adventurer's Guide
City Watch,Flaw,"I obey the law, even if the law causes misery.",Sword Coast Adventurer's Guide
City Watch,Flaw,I'd rather eat my armor than admit when I'm wrong.,Sword Coast Adventurer's Guide
Clan Crafter,Clan business,Alchemists and apothecaries,Sword Coast Adventurer's Guide
Clan Crafter,Clan business,"Armorers, locksmiths, and finesmiths",Sword Coast Adventurer's Guide
Clan Crafter,Clan business,"Brewers, distillers, and vintners",Sword Coast Adventurer's Guide
Clan Crafter,Clan business,"Calligraphers, scribes, and scriveners",Sword Coast Adventurer's Guide
Clan Crafter,Clan business,"Carpenters, roofers, and plasterers",Sword Coast Adventurer's Guide
Clan Crafter,Clan business,"Cartographers, surveyors, and chart-makers",Sword Coast Adventurer's Guide
Clan Crafter,Clan business,Cobblers and shoemakers,Sword Coast Adventurer's Guide
Clan Crafter,Clan business,Cooks and bakers,Sword Coast Adventurer's Guide
Clan Crafter,Clan business,Glassblowers and glaziers,Sword Coast Adventurer's Guide
Clan Crafter,Clan business,Jewelers and gemcutters,Sword Coast Adventurer's Guide
Clan Crafter,Clan business,"Leatherworkers, skinners, and tanners",Sword Coast Adventurer's Guide
Clan Crafter,Clan business,Masons and stonecutters,Sword Coast Adventurer's Guide
Clan Crafter,Clan business,"Painters, limners, and sign-makers",Sword Coast Adventurer's Guide
Clan Crafter,Clan business,Potters and tile-makers,Sword Coast Adventurer's Guide
Clan Crafter,Clan business,Shipwrights and sail-makers,Sword Coast Adventurer's Guide
Clan Crafter,Clan business,Smiths and metal-forgers,Sword Coast Adventurer's Guide
Clan Crafter,Clan business,"Tinkers, pewterers, and casters",Sword Coast Adventurer's Guide
Clan Crafter,Clan business,Wagon-makers and wheelwrights,Sword Coast Adventurer's Guide
Clan Crafter,Clan business,Weavers and dyers,Sword Coast Adventurer's Guide
Clan Crafter,Clan business,"Woodcarvers, coopers, and bowyers",Sword Coast Adventurer's Guide
Clan Crafter,Trait,I believe that anything worth doing is worth doing right. I can't help it-I'm a perfectionist.,Sword Coast Adventurer's Guide
Clan Crafter,Trait,I'm a snob who looks down on those who can't appreciate fine art.,Sword Coast Adventurer's Guide
Clan Crafter,Trait,I always want to know how things work and what makes people tick.,Sword Coast Adventurer's Guide
Clan Crafter,Trait,I'm full of witty aphorisms and have a proverb for every occasion.,Sword Coast Adventurer's Guide
Clan Crafter,Trait,I'm rude to people who lack my commitment to hard work and fair play.,Sword Coast Adventurer's Guide
Clan Crafter,Trait,I like to talk at length about my profession.,Sword Coast Adventurer's Guide
Clan Crafter,Trait,I don't part with my money easily and will haggle tirelessly to get the best deal possible.,Sword Coast Adventurer's Guide
Clan Crafter,Trait,"I'm well known for my work, and I want to make sure everyone appreciates it. I'm always taken aback when people haven't heard of me.",Sword Coast Adventurer's Guide
Clan Crafter,Ideal,Community. It is the duty of all civilized people to strengthen the bonds of community and the security of civilization. (Lawful),Sword Coast Adventurer's Guide
Clan Crafter,Ideal,Generosity. My talents were given to me so that I could use them to benefit the world. (Good),Sword Coast Adventurer's Guide
Clan Crafter,Ideal,Freedom. Everyone should be free to pursue his or her own livelihood. (Chaotic),Sword Coast Adventurer's Guide
Clan Crafter,Ideal,Greed. I'm only in it for the money. (Evil),Sword Coast Adventurer's Guide
Clan Crafter,Ideal,"People. I'm committed to the people I care about, not to ideals. (Neutral)",Sword Coast Adventurer's Guide
Clan Crafter,Ideal,Aspiration. I work hard to be the best there is at my craft. (Any),Sword Coast Adventurer's Guide
Clan Crafter,Bond,The workshop where I learned my trade is the most important place in the world to me.,Sword Coast Adventurer's Guide
Clan Crafter,Bond,"I created a great work for someone, and then found them unworthy to receive it. I'm still looking for someone worthy.",Sword Coast Adventurer's Guide
Clan Crafter,Bond,I owe my clan a great debt for forging me into the person I am today.,Sword Coast Adventurer's Guide
Clan Crafter,Bond,I pursue wealth to secure someone's love.,Sword Coast Adventurer's Guide
Clan Crafter,Bond,One day I will return to my clan and prove that I am the greatest artisan of them all.,Sword Coast Adventurer's Guide
Clan Crafter,Bond,I will get revenge on the evil forces that destroyed my place of business and ruined my livelihood.,Sword Coast Adventurer's Guide
Clan Crafter,Flaw,I'll do anything to get my hands on something rare or priceless.,Sword Coast Adventurer's Guide
Clan Crafter,Flaw,I'm quick to assume that someone is trying to cheat me.,Sword Coast Adventurer's Guide
Clan Crafter,Flaw,No one must ever learn that I once stole money from clan coffers.,Sword Coast Adventurer's Guide
Clan Crafter,Flaw,I'm never satisfied with what I have-I always want more.,Sword Coast Adventurer's Guide
Clan Crafter,Flaw,I would kill to acquire a noble title.,Sword Coast Adventurer's Guide
Clan Crafter,Flaw,"I'm horribly jealous of anyone who can outshine my handiwork. Everywhere I go, I'm surrounded by rivals.",Sword Coast Adventurer's Guide
Cloistered Scholar,Field of study,Alchemist,Sword Coast Adventurer's Guide
Cloistered Scholar,Field of study,Astronomer,Sword Coast Adventurer's Guide
Cloistered Scholar,Field of study,Discredited academic,Sword Coast Adventurer's Guide
Cloistered Scholar,Field of study,Librarian,Sword Coast Adventurer's Guide
Cloistered Scholar,Field of study,Professor,Sword Coast Adventurer's Guide
Cloistered Scholar,Field of study,Researcher,Sword Coast Adventurer's Guide
Cloistered Scholar,Field of study,Wizard's apprentice,Sword Coast Adventurer's Guide
Cloistered Scholar,Field of study,Scribe,Sword Coast Adventurer's Guide
Cloistered Scholar,Trait,I use polysyllabic words that convey the impression of great erudition.,Sword Coast Adventurer's Guide
Cloistered Scholar,Trait,I've read every book in the world's greatest libraries-or I like to boast that I have.,Sword Coast Adventurer's Guide
Cloistered Scholar,Trait,"I'm used to helping out those who aren't as smart as I am, and I patiently explain anything and everything to others.",Sword Coast Adventurer's Guide
Cloistered Scholar,Trait,There's nothing I like more than a good mystery.,Sword Coast Adventurer's Guide
Cloistered Scholar,Trait,I'm willing to listen to every side of an argument before I make my own judgment.,Sword Coast Adventurer's Guide
Cloistered Scholar,Trait,"I... speak... slowly... when talking... to idiots,... which... almost... everyone... is... compared... to me.",Sword Coast Adventurer's Guide
Cloistered Scholar,Trait,"I am horribly, horribly awkward in social situations.",Sword Coast Adventurer's Guide
Cloistered Scholar,Trait,I'm convinced that people are always trying to steal my secrets.,Sword Coast Adventurer's Guide
Cloistered Scholar,Ideal,Knowledge. The path to power and self-improvement is through knowledge. (Neutral),Sword Coast Adventurer's Guide
Cloistered Scholar,Ideal,Beauty. What is beautiful points us beyond itself toward what is true. (Good),Sword Coast Adventurer's Guide
Cloistered Scholar,Ideal,Logic. Emotions must not cloud our logical thinking. (Lawful),Sword Coast Adventurer's Guide
Cloistered Scholar,Ideal,No Limits. Nothing should fetter the infinite possibility inherent in all existence. (Chaotic),Sword Coast Adventurer's Guide
Cloistered Scholar,Ideal,Power. Knowledge is the path to power and domination. (Evil),Sword Coast Adventurer's Guide
Cloistered Scholar,Ideal,Self-Improvement. The goal of a life of study is the betterment of oneself. (Any),Sword Coast Adventurer's Guide
Cloistered Scholar,Bond,It is my duty to protect my students.,Sword Coast Adventurer's Guide
Cloistered Scholar,Bond,I have an ancient text that holds terrible secrets that must not fall into the wrong hands.,Sword Coast Adventurer's Guide
Cloistered Scholar,Bond,"I work to preserve a library, university, scriptorium, or monastery.",Sword Coast Adventurer's Guide
Cloistered Scholar,Bond,My life's work is a series of tomes related to a specific field of lore.,Sword Coast Adventurer's Guide
Cloistered Scholar,Bond,I've been searching my whole life for the answer to a certain question.,Sword Coast Adventurer's Guide
Cloistered Scholar,Bond,I sold my soul for knowledge. I hope to do great deeds and win it back.,Sword Coast Adventurer's Guide
Cloistered Scholar,Flaw,I am easily distracted by the promise of information.,Sword Coast Adventurer's Guide
Cloistered Scholar,Flaw,Most people scream and run when they see a demon. I stop and take notes on its anatomy.,Sword Coast Adventurer's Guide
Cloistered Scholar,Flaw,Unlocking an ancient mystery is worth the price of a civilization.,Sword Coast Adventurer's Guide
Cloistered Scholar,Flaw,I overlook obvious solutions in favor of complicated ones.,Sword Coast Adventurer's Guide
Cloistered Scholar,Flaw,"I speak without really thinking through my words, invariably insulting others.",Sword Coast Adventurer's Guide
Cloistered Scholar,Flaw,"I can't keep a secret to save my life, or anyone else's.",Sword Coast Adventurer's Guide
Courtier,Guild business,Alchemists and apothecaries,Sword Coast Adventurer's Guide
Courtier,Guild business,"Armorers, locksmiths, and finesmiths",Sword Coast Adventurer's Guide
Courtier,Guild business,"Brewers, distillers, and vintners",Sword Coast Adventurer's Guide
Courtier,Guild business,"Calligraphers, scribes, and scriveners",Sword Coast Adventurer's Guide
Courtier,Guild business,"Carpenters, roofers, and plasterers",Sword Coast Adventurer's Guide
Courtier,Guild business,"Cartographers, surveyors, and chart-makers",Sword Coast Adventurer's Guide
Courtier,Guild business,Cobblers and shoemakers,Sword Coast Adventurer's Guide
Courtier,Guild business,Cooks and bakers,Sword Coast Adventurer's Guide
Courtier,Guild business,Glassblowers and glaziers,Sword Coast Adventurer's Guide
Courtier,Guild business,Jewelers and gemcutters,Sword Coast Adventurer's Guide
Courtier,Guild business,"Leatherworkers, skinners, and tanners",Sword Coast Adventurer's Guide
Courtier,Guild business,Masons and stonecutters,Sword Coast Adventurer's Guide
Courtier,Guild business,"Painters, limners, and sign-makers",Sword Coast Adventurer's Guide
Courtier,Guild business,Potters and tile-makers,Sword Coast Adventurer's Guide
Courtier,Guild business,Shipwrights and sail-makers,Sword Coast Adventurer's Guide
Courtier,Guild business,Smiths and metal-forgers,Sword Coast Adventurer's Guide
Courtier,Guild business,"Tinkers, pewterers, and casters",Sword Coast Adventurer's Guide
Courtier,Guild business,Wagon-makers and wheelwrights,Sword Coast Adventurer's Guide
Courtier,Guild business,Weavers and dyers,Sword Coast Adventurer's Guide
Courtier,Guild business,"Woodcarvers, coopers, and bowyers",Sword Coast Adventurer's Guide
Courtier,Trait,I believe that anything worth doing is worth doing right. I can't help it-I'm a perfectionist.,Sword Coast Adventurer's Guide
Courtier,Trait,I'm a snob who looks down on those who can't appreciate fine art.,Sword Coast Adventurer's Guide
Courtier,Trait,I always want to know how things work and what makes people tick.,Sword Coast Adventurer's Guide
Courtier,Trait,I'm full of witty aphorisms and have a proverb for every occasion.,Sword Coast Adventurer's Guide
